feature_name,variance,target_linear_correlation,feature_importances
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_1133529_cp1_cp1p5_YPP,0.040970514,0.11366909,0.001115975
ZB_V_V0FVBI_UL_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000294872,0.029115529,0.001111628
AC_V_GAIN_AFE_CRN_5_8_8 of 1103959_69_1133529_cp1p5,0.008715982,0.088999778,0.001110943
AG_V_SELF_TEST_GAIN_7_4_1 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000421311,0.102329851,0.001109763
Sb_I_SCALBIAS_0_LV of 1103959_69_1133592_QPP,0.022967103,0.092300102,0.001106906
AG_V_SELF_TEST_GAIN_6_4_1 of 1103959_69_1133529_cp1_cp1p5_YPP,0.000354555,0.09414503,0.001106838
VV_V_3V3_UL of 1103959_69_1133592_QPP,0.000515809,0.028523821,0.001103622
Zb_V_OBVOH_L_RAW of 1103959_69_1133529_cp1,0.000705236,0.044536741,0.001101545
KK_LK_CM_HI of 1103959_69_JPP,1.542104433,0.055424333,0.001101298
AC_V_AFE_CLP_5_8_8_I0 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000450794,0.018997035,0.001100081
AG_V_SELF_TEST_GAIN_5_8_1 of 1103959_69_1133592_QPP,0.000852372,0.098939661,0.001100001
AC_SENSE_CRP of 1103959_69_1133592_RPP,1.87E-05,0.089262806,0.001099997
AG_V_SELF_TEST_GAIN_8_2_1 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000280385,0.080489455,0.001097472
ZB_V_V0FVBIFF_M_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000362901,0.025639901,0.001095975
HH_CONT_CR_APMU of 1103959_69_1133529_cp1,0.002002049,0.026228746,0.001095904
EEPROM_V4__,417.3117294,0.051759131,0.001090295
Gb_I_GBIAS_0_LV of 1103959_69_1133529_cp1,0.003479942,0.06845382,0.001089877
AG_V_SELF_TEST_GAIN_6_1_4_RAW of 1103959_69_1133592_QPP,0.000509638,0.086045265,0.001081461
Zb_V_OBVOH_L of 1103959_69_JPP,0.000351082,0.059329431,0.001080778
HH_CONT_CL of 1103959_69_1133529_cp1_cp1p5_YPP,0.000196791,0.105205947,0.001073154
OV_V_OB_VOUT_DIG of 1103959_69_1133529_cp1_cp1p5_YPP,0.000473768,0.041454338,0.001069071
AG_V_SELF_TEST_GAIN_6_4_1_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000529513,0.090790522,0.001068831
Zb_V_OBVOL_VSS_H of 1103959_69_1133529_cp1p5,6.95E-05,0.028197134,0.001068007
AG_V_SELF_TEST_GAIN_5_1_8_2C of 1103959_69_1133529_cp1p5,0.001070142,0.09534412,0.001063587
HH_CONT_SH_VSS_APMU of 1103959_69_1133592_QPP,0.004802418,0.030371119,0.001063496
AG_V_SELF_TEST_GAIN_9_1_2 of 1103959_69_JPP,0.000282781,0.082123562,0.001063375
AC_VOUTB0_PRE of 1103959_69_1133529_cp1,35.36981694,0.057300221,0.001061486
AG_V_SELF_TEST_GA_5_1_8_2C_RAW of 1103959_69_JPP,0.000901777,0.109324041,0.001060803
Zb_V_OBVOL of 1103959_69_1133529_cp1p5,0.001504997,0.031192164,0.001060187
KK_LK_VSS_APMU_LO of 1103959_69_1133529_cp1p5,218088.6259,0.023984703,0.001058226
AC_V_AFE_CRN_5_8_8_VSS of 1103959_69_1133529_cp1,0.000190283,0.053451645,0.001056771
AG_V_SELF_TEST_GAIN_12_2_1_2C of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000355526,0.098479237,0.001055986
EEPROM_V0__,71.95124133,0.027573029,0.001053975
AC_VOFF_TGT_PRE_TM of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,2.21E-05,0.004355232,0.001053953
AG_V_SELF_TEST_GAIN_5_8_1 of 1103959_69_JPP,0.000587625,0.095777417,0.001053507
AG_V_SELF_TEST_GAIN_6_1_4 of 1103959_69_JPP,0.00034596,0.091404701,0.001051294
AG_V_SELF_TEST_GAIN_6_1_4 of 1103959_69_1133529_cp1p5,0.000380378,0.089679022,0.001050094
Df_V_VR1V2D_M of 1103959_69_1133529_cp1p5,0.000855202,0.007195777,0.001042661
AC_V_GAIN_AFE_CLN_5_8_8 of 1103959_69_1133529_cp1p5,0.009071008,0.060140613,0.001042412
Gb_I_GBIAS_0_LV of 1103959_69_JPP,0.007133848,0.012093172,0.001040544
EEPROM_SET_T1__,0.001105889,0.117523842,0.001038666
AG_V_SELF_GAIN_12_2_1_2C_RAW of 1103959_69_1133592_QPP,0.000499715,0.086683408,0.001037621
Zb_V_OBVOH of 1103959_69_JPP,0.000316614,0.061610446,0.001035196
Ro_T_REFOSC_HV of 1103959_69_1133592_QPP,645.0654123,0.048362638,0.001027667
COL of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,278.9622047,0.0523513,0.001027187
AG_V_SELF_TEST_GAIN_12_2_1 of 1103959_69_1133592_QPP,0.000395893,0.0965917,0.001026188
AG_V_SELF_TEST_GAIN_5_1_8_RAW of 1103959_69_1133529_cp1,0.0013463,0.101196614,0.001024202
AG_V_SELF_TEST_GAIN_8_2_1 of 1103959_69_JPP,0.00026771,0.076966253,0.001022784
KK_LK_PTEN_LO of 1103959_69_1133529_cp1,1.426100291,0.005637094,0.001022484
ROW of 1103959_69_1133529_cp1,359.5061844,0.044012849,0.001021085
VV_VSS of 1103959_69_1133529_cp1,0.000198116,0.054011441,0.001014469
HH_CONT_OUT of 1103959_69_1133529_cp1,0.00090504,0.008590761,0.001013456
